"Avg_mode_power","Screen_Size_Extracted"
116,"65"
116,"65"
116,"65"
139,"75"
139,"75"
139,"75"
80,"50"
80,"50"
80,"50"
81,"55"
81,"55"
81,"55"
99.7,"75"
25.92,"32"
25.92,"32"
25.92,"32"
25.92,"32"
25.92,"32"
25.92,"32"
25.92,"32"
25.92,"32"
25.92,"32"
25.92,"32"
25.92,"32"
40.7,"40"
40.7,"40"
40.7,"40"
31.8,"32"
31.8,"32"
31.8,"32"
126.52,"55"
68.9,"55"
68.9,"55"
68.9,"55"
68.9,"55"
68.9,"55"
66.4,"50"
66.4,"50"
66.4,"50"
66.4,"50"
66.4,"50"
119.01,"65"
306.7,"75"
36,"43"
40,"50"
49,"55"
56,"65"
165.8,"75"
154.08,"65"
53.38,"420"
97.68,"500"
24.687,"320"
80,"50"
81,"55"
29.22,"32"
234.49,"650"
234.49,"650"
107.4,"70"
160.5,"750"
70,"43"
126,"65"
85.2,"65"
143,"75"
54.48,"40"
54.48,"40"
54.48,"40"
42.76,"27"
42.76,"27"
42.76,"27"
186.3,"75"
186.3,"75"
153.11,"700"
116.74,"70"
28.86,"32"
28.86,"32"
28.86,"32"
32.247,"40"
195.5,"65"
195.5,"65"
195.5,"65"
195.5,"65"
